0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=38&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=20&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=4&fileName=main1.jpg HTTP/1.1" 200 24795
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=7&fileName=main1.jpg HTTP/1.1" 200 16054
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/main/main.do HTTP/1.1" 200 32839
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/thumbnails.do?goods_num=35&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/thumbnails.do?goods_num=30&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/thumbnails.do?goods_num=1&fileName=gift_01.png HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:22 +0900] "GET /AA/thumbnails.do?goods_num=7&fileName=main1.jpg HTTP/1.1" 200 16054
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39720
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:23 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
